"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.920000000E1,-4.081294355E-1,2.596582053E-2,1.451422789E-2
2.930000000E1,-4.374242074E-1,2.743055912E-2,1.344896345E-2
2.940000000E1,-4.640558182E-1,3.621899069E-2,3.861583566E-3
2.950000000E1,-5.061337633E-1,1.784317924E-2,4.394215782E-3
2.960000000E1,-5.414206476E-1,1.384843762E-2,8.921589618E-3
2.970000000E1,-5.844306990E-1,2.530003026E-2,7.856325186E-3
2.980000000E1,-6.186523189E-1,2.876213966E-2,1.105211848E-2
2.990000000E1,-6.616623703E-1,2.836266550E-2,1.065264432E-2
3.000000000E1,-6.914897744E-1,2.956108799E-2,6.524744646E-3
3.010000000E1,-7.149255919E-1,2.862898161E-2,6.524744646E-3
3.020000000E1,-7.364971967E-1,1.984055005E-2,-3.595267458E-3
3.030000000E1,-7.624630172E-1,5.246427328E-2,3.195793296E-3
3.040000000E1,-7.555387984E-1,2.889529772E-2,7.456851024E-3
3.050000000E1,-7.483482635E-1,2.277002723E-2,7.323692970E-3
3.060000000E1,-7.447529960E-1,2.476739804E-2,4.527373836E-3
3.070000000E1,-7.222492849E-1,1.904160172E-2,2.130528864E-3
3.080000000E1,-6.974818869E-1,2.356897556E-2,6.258428538E-3
3.090000000E1,-6.672550086E-1,4.021373231E-2,3.462109404E-3
3.100000000E1,-6.221144283E-1,2.756371718E-2,8.655273510E-3
3.110000000E1,-5.864280698E-1,3.142530074E-2,9.321063780E-4
3.120000000E1,-5.503422372E-1,3.275688128E-2,1.331580540E-3
3.130000000E1,-5.082642921E-1,3.195793296E-2,9.321063780E-3
3.140000000E1,-4.705805628E-1,9.321063780E-3,-5.992112430E-3
3.150000000E1,-4.396878943E-1,3.342267155E-2,1.797633729E-2
3.160000000E1,-4.306331466E-1,4.727110917E-2,1.424791178E-2
3.170000000E1,-3.894873080E-1,2.117213059E-2,1.810949534E-2
3.180000000E1,-3.691141257E-1,2.916161383E-2,1.478054399E-2
3.190000000E1,-3.575293750E-1,2.210423696E-2,1.850896951E-2
3.200000000E1,-3.414172505E-1,3.741741317E-2,1.531317621E-2
3.210000000E1,-3.545998978E-1,4.087952258E-2,5.858954376E-3
3.220000000E1,-3.528688431E-1,2.117213059E-2,1.145159264E-2
3.230000000E1,-3.589941136E-1,2.902845577E-2,1.238369902E-2
3.240000000E1,-3.671167549E-1,2.676476885E-2,1.358212151E-2
3.250000000E1,-3.910852046E-1,3.235740712E-2,1.118527654E-2
3.260000000E1,-4.122573352E-1,3.289003934E-2,5.725796322E-3
3.270000000E1,-4.504736967E-1,3.009372020E-2,2.117213059E-2
3.280000000E1,-4.799016266E-1,5.779059544E-2,5.725796322E-3
3.290000000E1,-5.038700763E-1,2.929477188E-2,1.145159264E-2
3.300000000E1,-5.539375046E-1,2.996056215E-2,1.597896648E-3
3.310000000E1,-5.817675379E-1,2.436792388E-2,5.193164106E-3
